question_id,score,comment,unit
33,3,"","Eusebio"
34,3,"","Eusebio"
35,3,"","Eusebio"
36,3,"","Eusebio"
37,3,"","Eusebio"
38,2,"","Eusebio"
39,3,"","Eusebio"
40,2,"","Eusebio"
41,3,"","Eusebio"
42,3,"","Eusebio"
43,2,"","Eusebio"
44,3,"","Eusebio"
45,4,"","Eusebio"
1,4,"ambiente muito bom de ser treblhar","Fortaleza"
2,4,"todos os epi são dados de acordor ","Fortaleza"
3,4,"","Fortaleza"
4,3,"","Fortaleza"
5,4,"","Fortaleza"
6,3,"todos sempre disposto a ajudar no que for preciso ","Fortaleza"
7,4,"não somo apenas colegas, somo familha! ","Fortaleza"
8,2,"","Fortaleza"
9,3,"","Fortaleza"
10,3,"","Fortaleza"
11,3,"","Fortaleza"
12,3,"","Fortaleza"
13,3,"","Fortaleza"
14,2,"não, pois em outra empresa se tem valores um pouco maior","Fortaleza"
15,3,"","Fortaleza"
16,3,"","Fortaleza"
17,3,"","Fortaleza"
18,3,"","Fortaleza"
19,4,"respeito e igualdade acima de tudo! ","Fortaleza"
20,3,"","Fortaleza"
21,3,"","Fortaleza"
22,3,"","Fortaleza"
23,2,"","Fortaleza"
24,4,"empresa boa de se trabalhar !","Fortaleza"
25,3,"","Fortaleza"
26,3,"não diria um exelente lugar, mais um bom lugar para se trabalhar !","Fortaleza"
27,3,"","Fortaleza"
28,3,"","Fortaleza"
29,3,"","Fortaleza"
30,2,"","Fortaleza"
31,3,"","Fortaleza"
32,2,"","Fortaleza"
33,2,"","Fortaleza"
34,3,"","Fortaleza"
35,3,"","Fortaleza"
36,3,"","Fortaleza"
37,2,"","Fortaleza"
38,2,"","Fortaleza"
39,3,"","Fortaleza"
40,3,"","Fortaleza"
41,3,"","Fortaleza"
42,3,"","Fortaleza"
43,3,"","Fortaleza"
44,3,"","Fortaleza"
45,4,"todas as empresas tem!","Fortaleza"
1,3,"","Fortaleza"
2,2,"","Fortaleza"
3,4,"","Fortaleza"
4,1,"","Fortaleza"
5,4,"","Fortaleza"
6,4,"","Fortaleza"
7,3,"","Fortaleza"
8,2,"","Fortaleza"
9,2,"","Fortaleza"
10,2,"","Fortaleza"
11,1,"","Fortaleza"
12,1,"","Fortaleza"
13,2,"","Fortaleza"
14,1,"salários bem abaixos do mercado atual, onde os níveis de responsabilidades não são levados em consideração, logo, não são remunerados conforme. ","Fortaleza"
15,3,"mas, DayOff no aniversário seria interessante também. ","Fortaleza"
16,2,"Algumas pessoas não são tão receptíveis ao receber novos colaboradores e se acham no direito de escolher quem deve ou não pertencer a empresa, é como se sentissem inferiozadas ou ameaçadas pela nova pessoa que chega (acontece bastante em cargos administrativos). ","Fortaleza"
17,3,"","Fortaleza"
18,3,"","Fortaleza"
19,3,"","Fortaleza"
20,1,"","Fortaleza"
21,2,"","Fortaleza"
22,2," Mesmo entregando um bom trabalho de extrema responsabilidade não compartilho ainda desse sentimento.","Fortaleza"
23,4,"","Fortaleza"
24,3,"Acredito que ao ver a empresa se desenvolver cada vez mais, vá surgindo o setimento maior de pertencimento, logo a vontade de permanecer cada vez maior. ","Fortaleza"
25,3,"","Fortaleza"
26,3,"Bom, tem seus desafios como toda a empresa, mas ainda assim tem uma cultura bem forte e sólida. É bom de se trabalhar aqui. ","Fortaleza"
27,4,"","Fortaleza"
28,4,"","Fortaleza"
29,4,"","Fortaleza"
30,4,"","Fortaleza"
31,4,"","Fortaleza"
32,3,"","Fortaleza"
33,3,"","Fortaleza"
34,3,"","Fortaleza"
35,3,"","Fortaleza"
36,3,"","Fortaleza"
37,2,"","Fortaleza"
38,3,"","Fortaleza"
39,3,"","Fortaleza"
40,3,"","Fortaleza"
41,3,"","Fortaleza"
42,3,"","Fortaleza"
43,3,"","Fortaleza"
44,3,"","Fortaleza"
45,3,"","Fortaleza"
1,4,"","Fortaleza"
2,4,"","Fortaleza"
3,4,"","Fortaleza"
4,4,"","Fortaleza"
5,4,"","Fortaleza"
6,4,"","Fortaleza"
7,4,"","Fortaleza"
8,3,"","Fortaleza"
9,3,"","Fortaleza"
10,4,"","Fortaleza"
11,3,"Esse é um ponto que está em evolução ","Fortaleza"
12,4,"","Fortaleza"
13,3,"","Fortaleza"
14,2,"A Nordeste tem salários um pouco mais baixo que o mercado","Fortaleza"
15,3,"O vale combustível é um ponto a ser revisto","Fortaleza"
16,4,"","Fortaleza"
17,4,"","Fortaleza"
18,4,"","Fortaleza"
19,4,"","Fortaleza"
20,1,"","Fortaleza"
21,4,"","Fortaleza"
22,4,"","Fortaleza"
23,2,"","Fortaleza"
24,4,"","Fortaleza"
25,4,"","Fortaleza"
26,4,"","Fortaleza"
27,4,"","Fortaleza"
28,4,"","Fortaleza"
29,4,"","Fortaleza"
30,3,"","Fortaleza"
31,4,"","Fortaleza"
32,3,"","Fortaleza"
33,4,"","Fortaleza"
34,4,"","Fortaleza"
35,4,"","Fortaleza"
36,4,"","Fortaleza"
37,3,"","Fortaleza"
38,4,"","Fortaleza"
39,4,"","Fortaleza"
40,4,"","Fortaleza"
41,4,"","Fortaleza"
42,4,"","Fortaleza"
43,3,"","Fortaleza"
44,4,"","Fortaleza"
45,2,"","Fortaleza"
1,3,"O ambiente em si é limpo e organizado, porém as cadeiras são desconfortáveis e estão bem desgastadas devido o tempo de uso, o que ocasiona incomodo, princinpalmente na lombar. ","Fortaleza"
2,4,"","Fortaleza"
3,3,"Sim, porém acredito que uma sala divida, com os setores separados, seria a melhor opção, pois teriamos mais privacidade ao atender e realziar chamadas e um ambiente mais tranquilo.","Fortaleza"
4,3,"De maneira geral, sim.\nOutras fazem só o básico ou nem isso. O que demonstra falta de atenção dos seus gestores ou vista grossa.","Fortaleza"
5,3,"Sim, apesar de haveram ponto negativos (todo local terá), gosto de trabalhar aqui, não é apenas uma obrigação. ","Fortaleza"
6,3,"De maneira geral sim. Mas como falado na pergunta n°1, nem todos estão dispostos a realizar o melhor trabalho e nem para contribuir para um ambiente leve. ","Fortaleza"
7,3,"Acredito que estaria mais engajado com o meu trabalho se houvesse mais transparência. Sinto também que as coisas demoram muito a acontecer, melhorias e etc. ","Fortaleza"
8,4,"","Fortaleza"
9,3,"Sim, sinto que é ouvida, porém não necessariamente o fato de ser ouvido irá levar a uma ação. Vai depender se a empresa ou o seu gestor(a) irá entender que aquilo faz sentido ou não. E o que pode fazer sentindo para a empresa, não quer dizer que faz sentido para os funcionários.","Fortaleza"
10,3,"De maniera geral, sim.\nPorém existe uma \"cultura\" de surpresa em alguns assunto na empresa. O que só gera mais espectulações entre os colaboradores, o que não é saudável. Um exemplo básico, foi na nossa mudança, aonde muito se especulou para onde iríamos nos mudar.","Fortaleza"
11,3,"Concordo que existem oportunidades de crescimento dentro da empresa. Porém o treinamento que existe é apenas aquele treinamento de quando você é contratado, no período de experiência.","Fortaleza"
12,3,"Concordo.\nMuito se fala sobre estudo, o que é algo bem genérico. \nAcredito que o gestor poderia ser mais espécifico sobre o que o colaborador teria que fazer para poder seguir crescendo junto com a empresa.","Fortaleza"
13,3,"Sim, ela demonstra esse reconhecimento. Porém de forma demorada. E não consigo enxegar o padrão de reconhecimento, pois alguns são reconhecidos rapidamente e outros não. E isso é notável em vário setores. \nEste fato já ocasionou a perda de alguns colabores talentosos, por conta dessa demora em reconhecer os que estão fazendo a diferença.","Fortaleza"
14,2,"Os salários são nivelados na média, pendendo para a parte debaixo dessa média.","Fortaleza"
15,3,"Sim, os benéficios são bons.\nAcredito que poderíamos ter o vale combustível, receber o alimentação também nas férias. ","Fortaleza"
16,4,"","Fortaleza"
17,4,"","Fortaleza"
18,4,"","Fortaleza"
19,4,"","Fortaleza"
20,2,"Já presenciei não uma humilhação, mas uma chamada de atenção que gerou um desconforto em que estava próximo e que era algo que poderia ser tratado em particular. ","Fortaleza"
21,2,"O único setor que vejo isso acontecer é o setor comercial. ","Fortaleza"
22,3,"Sim, porém reconhecimento não é apenas com palavras. Mas sim com melhorias para quem estar fazendo a diferença, o que inclui aumento de sálario e promoções.","Fortaleza"
23,1,"","Fortaleza"
24,4,"","Fortaleza"
25,3,"Sim, mas sempre ocorre algunas atritos, pois cada um acha que o seu setor é o mais importante e não procura entender o trabalho do outro. O que é \"normal\".","Fortaleza"
26,3,"Acredito que essa resposta nunca será \"concordo muito\", pois sempre terão pontos para melhoria. ","Fortaleza"
27,4,"","Fortaleza"
28,4,"","Fortaleza"
29,4,"","Fortaleza"
30,4,"","Fortaleza"
31,4,"","Fortaleza"
32,3,"Como já falado, esse treinamento ocorre ao ingressar na empresa. ","Fortaleza"
33,4,"","Fortaleza"
34,4,"","Fortaleza"
35,4,"","Fortaleza"
36,3,"Sim, mas demonstra dificuldade em delegar atividades de maior responsaibilidade. ","Fortaleza"
37,3,"","Fortaleza"
38,2,"Sempre tem os \"protegidos\" e isso não ocorre somente no meu setor.","Fortaleza"
39,3,"","Fortaleza"
40,3,"","Fortaleza"
41,3,"","Fortaleza"
42,3,"","Fortaleza"
43,3,"","Fortaleza"
44,3,"","Fortaleza"
45,3,"","Fortaleza"
1,3,"Só acho que precisa de cadeiras mais ergonômicas, bem como apoio para elevar o notebook e segunda tela.","Fortaleza"
2,3,"","Fortaleza"
3,4,"","Fortaleza"
4,3,"","Fortaleza"
5,4,"","Fortaleza"
6,3,"","Fortaleza"
7,4,"","Fortaleza"
8,2,"Falta um canal de comunicação mais adequado para as sugestões e reivindicações dos colaboradores, pois ficamos perdidos às vezes sobre como fazer uma sugestão, denúncia ou reclamação.","Fortaleza"
9,2,"O problema é que quando a gente faz uma sugestão ou reclamação, seja sobre um problema interno ou externo, o feedback nem sempre ocorre e, quando ocorre, não é feito de forma adequada.","Fortaleza"
10,3,"","Fortaleza"
11,2,"No meu caso em especial não, pois acredito que poderia pelo menos haver um auxílio mesmo que pequeno, no custeio de especializações, cursos e treinamentos voltados a melhor execução das minhas atividades.","Fortaleza"
12,4,"","Fortaleza"
13,4,"","Fortaleza"
14,3,"","Fortaleza"
15,2,"No meu caso que tenho veículo para vir para o trabalho, seria muito bom ter o vale combustível. Também o vale farmácia deveria ter um valor maior, pois o que é permitido hoje está muito defasado. Outro benefício que deveria existir é o Day-off do dia do aniversário do colaborador.","Fortaleza"
16,3,"","Fortaleza"
17,3,"","Fortaleza"
18,3,"","Fortaleza"
19,4,"","Fortaleza"
20,2,"","Fortaleza"
21,3,"","Fortaleza"
22,3,"","Fortaleza"
23,1,"","Fortaleza"
24,4,"","Fortaleza"
